epoch,model_name,CRPS,ND,NRMSE,CRPS_Sum,ND_Sum,NRMSE_Sum
1, mgtsd, 19.447913874366943, 8.635433966712284, 17.760603426801165, 17.404997823622434, 7.461124183158093, 9.597306153473232
1, mgtsd, 0.9868938685219683, 1.0729070313288807, 2.0285093757917916, 0.9748528088191629, 1.0713516467679538, 1.8185123391442277
1, mgtsd, 0.9808795008710162, 1.0698899021113195, 2.03606701860621, 0.9655113242108045, 1.0561507630992066, 1.8253754397163846
1, mgtsd, 19.515835060159365, 8.87459896679474, 18.044081655880785, 17.48262648727056, 7.1600947456131445, 8.797350447045833
1, mgtsd, 0.9821624016043561, 1.0556101641967965, 2.017913634840238, 0.9661620076131556, 1.0419999719956212, 1.8087165225022925
1, mgtsd, 1.0404158998041644, 1.0998810686988918, 2.0336974536264307, 0.9998285916498824, 1.0760601515759867, 1.8235960110184284
1, mgtsd, 1.0274880219919253, 1.0917292025052552, 2.0470769820443437, 1.0019511337597395, 1.0826328321605723, 1.8380783889743841
1, mgtsd, 1.0361718068771573, 1.113838046331689, 2.0417851890505094, 1.0077752284666843, 1.0983181772537316, 1.8337935422935332
1, mgtsd, 1.009890634682098, 1.0615517895377482, 2.0072736035319303, 0.987643154602624, 1.053005736913542, 1.7984390799727292
1, mgtsd, 0.5606789482460357, 0.6365777920658067, 1.169269814981939, 0.4857200776032396, 0.5493195462226019, 0.9664302232289769
1, mgtsd, 0.9862476419316436, 1.0518095400583303, 2.035023768394294, 0.9938592763717798, 1.0053854315876751, 1.8204914661921126
1, mgtsd, 0.5135028745105007, 0.6040372414120678, 1.1733323150494401, 0.44068810281085646, 0.4849761164584516, 0.973740419651178
